#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 12 02 01 00 304  1.5  2.8 99.00 99.00 99.00 999 1017.6 999.0  13.7 999.0 99.0 99.00 
2021 12 02 01 10 304  1.7  2.4 99.00 99.00 99.00 999 1017.7 999.0  13.7 999.0 99.0 99.00 
2021 12 02 01 20 299  1.6  2.5 99.00 99.00 99.00 999 1017.7 999.0  13.7 999.0 99.0 99.00 
2021 12 02 01 30 288  1.4  2.5 99.00 99.00 99.00 999 1017.8 999.0  13.7 999.0 99.0 99.00 
2021 12 02 01 40 283  1.6  2.5  1.61 12.90  7.97 286 1017.8 999.0  13.6 999.0 99.0 99.00 
2021 12 02 01 50 283  1.8  2.7 99.00 99.00 99.00 999 1018.0 999.0  13.6 999.0 99.0 99.00 
2021 12 02 02 00 298  1.8  3.0 99.00 99.00 99.00 999 1018.0 999.0  13.6 999.0 99.0 99.00 
2021 12 02 02 10 302  2.5  3.4 99.00 99.00 99.00 999 1018.1 999.0  13.6 999.0 99.0 99.00 
2021 12 02 02 20 321  2.5  3.8 99.00 99.00 99.00 999 1018.1 999.0  13.6 999.0 99.0 99.00 
2021 12 02 02 30 330  2.6  4.0 99.00 99.00 99.00 999 1018.2 999.0  13.6 999.0 99.0 99.00 
2021 12 02 02 40 333  2.4  3.2  1.65 12.90  8.27 297 1018.1 999.0  13.6 999.0 99.0 99.00 
2021 12 02 02 50 331  3.0  3.8 99.00 99.00 99.00 999 1018.2 999.0  13.6 999.0 99.0 99.00 
2021 12 02 03 00 333  3.1  4.2 99.00 99.00 99.00 999 1018.2 999.0  13.6 999.0 99.0 99.00 
2021 12 02 03 10 340  3.2  4.1 99.00 99.00 99.00 999 1018.3 999.0  13.6 999.0 99.0 99.00 
2021 12 02 03 20 341  2.8  3.7 99.00 99.00 99.00 999 1018.4 999.0  13.6 999.0 99.0 99.00 
