#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2022 02 01 23 00 318 10.1 13.7 99.00 99.00 99.00 999 1017.5 999.0  12.1 999.0 99.0 99.00 
2022 02 01 23 10 314  9.1 11.6 99.00 99.00 99.00 999 1017.5 999.0  12.1 999.0 99.0 99.00 
2022 02 01 23 20 317  9.3 11.8 99.00 99.00 99.00 999 1017.8 999.0  12.1 999.0 99.0 99.00 
2022 02 01 23 30 311  9.3 11.3 99.00 99.00 99.00 999 1017.8 999.0  12.1 999.0 99.0 99.00 
2022 02 01 23 40 320  9.6 12.1  2.82 12.90  6.49 271 1017.8 999.0  12.1 999.0 99.0 99.00 
2022 02 01 23 50 319  9.7 12.6 99.00 99.00 99.00 999 1017.8 999.0  12.1 999.0 99.0 99.00 
2022 02 02 00 00 317  9.3 12.5 99.00 99.00 99.00 999 1017.8 999.0  12.1 999.0 99.0 99.00 
2022 02 02 00 10 324  9.7 12.5 99.00 99.00 99.00 999 1017.7 999.0  12.1 999.0 99.0 99.00 
2022 02 02 00 20 327  9.9 12.7 99.00 99.00 99.00 999 1017.7 999.0  12.1 999.0 99.0 99.00 
2022 02 02 00 30 333  9.6 12.6 99.00 99.00 99.00 999 1017.4 999.0  12.1 999.0 99.0 99.00 
2022 02 02 00 40 334  9.8 12.3  3.11 10.00  6.78 307 1017.4 999.0  12.1 999.0 99.0 99.00 
2022 02 02 00 50 333  9.8 12.6 99.00 99.00 99.00 999 1017.6 999.0  12.1 999.0 99.0 99.00 
2022 02 02 01 00 334  9.0 11.6 99.00 99.00 99.00 999 1017.7 999.0  12.1 999.0 99.0 99.00 
2022 02 02 01 10 328  8.7 10.8 99.00 99.00 99.00 999 1018.0 999.0  12.1 999.0 99.0 99.00 
2022 02 02 01 20 325 10.2 13.4 99.00 99.00 99.00 999 1018.0 999.0  12.1 999.0 99.0 99.00 
2022 02 02 01 30 325 11.6 15.4 99.00 99.00 99.00 999 1017.9 999.0  12.1 999.0 99.0 99.00 
2022 02 02 01 40 326 11.6 14.6  3.17  9.09  6.81 311 1017.7 999.0  12.1 999.0 99.0 99.00 
2022 02 02 01 50 328 12.0 15.3 99.00 99.00 99.00 999 1017.9 999.0  12.1 999.0 99.0 99.00 
2022 02 02 02 00 328 12.1 15.8 99.00 99.00 99.00 999 1017.9 999.0  12.1 999.0 99.0 99.00 
2022 02 02 02 10 325 12.7 15.5 99.00 99.00 99.00 999 1018.0 999.0  12.1 999.0 99.0 99.00 
2022 02 02 02 20 324 13.3 16.5 99.00 99.00 99.00 999 1018.1 999.0  12.1 999.0 99.0 99.00 
2022 02 02 02 30 325 12.6 15.5 99.00 99.00 99.00 999 1018.3 999.0  12.1 999.0 99.0 99.00 
2022 02 02 02 40 327 12.0 14.9  3.13 10.81  6.67 296 1018.5 999.0  12.1 999.0 99.0 99.00 
2022 02 02 02 50 327 11.4 14.4 99.00 99.00 99.00 999 1018.6 999.0  12.1 999.0 99.0 99.00 
2022 02 02 03 00 329 10.2 12.9 99.00 99.00 99.00 999 1019.0 999.0  12.1 999.0 99.0 99.00 
2022 02 02 03 10 333  8.9 10.7 99.00 99.00 99.00 999 1019.2 999.0  12.1 999.0 99.0 99.00 
2022 02 02 03 20 335  8.7 11.1 99.00 99.00 99.00 999 1019.2 999.0  12.1 999.0 99.0 99.00 
2022 02 02 03 30 332  8.0 10.6 99.00 99.00 99.00 999 1019.3 999.0  12.1 999.0 99.0 99.00 
2022 02 02 03 40 328  8.2 10.3  2.73 12.90  6.65 283 1019.4 999.0  12.1 999.0 99.0 99.00 
2022 02 02 03 50 322  8.3 10.7 99.00 99.00 99.00 999 1019.4 999.0  12.1 999.0 99.0 99.00 
2022 02 02 04 00 325  7.5  9.8 99.00 99.00 99.00 999 1019.4 999.0  12.1 999.0 99.0 99.00 
2022 02 02 04 10 329  7.1  9.5 99.00 99.00 99.00 999 1019.4 999.0  12.1 999.0 99.0 99.00 
2022 02 02 04 20 327  7.2  9.1 99.00 99.00 99.00 999 1019.4 999.0  12.1 999.0 99.0 99.00 
2022 02 02 04 30 328  7.4  9.4 99.00 99.00 99.00 999 1019.5 999.0  12.1 999.0 99.0 99.00 
2022 02 02 04 40 326  8.1 10.7  2.65 11.43  6.61 283 1019.5 999.0  12.1 999.0 99.0 99.00 
2022 02 02 04 50 327  8.4 11.0 99.00 99.00 99.00 999 1019.7 999.0  12.1 999.0 99.0 99.00 
2022 02 02 05 00 330  8.7 11.3 99.00 99.00 99.00 999 1019.7 999.0  12.1 999.0 99.0 99.00 
2022 02 02 05 10 331  8.4 11.1 99.00 99.00 99.00 999 1019.7 999.0  12.1 999.0 99.0 99.00 
2022 02 02 05 20 331  8.0 10.6 99.00 99.00 99.00 999 1019.7 999.0  12.1 999.0 99.0 99.00 
2022 02 02 05 30 326  7.6 10.1 99.00 99.00 99.00 999 1019.8 999.0  12.1 999.0 99.0 99.00 
2022 02 02 05 40 323  7.5  9.4  2.92 12.12  7.27 301 1019.9 999.0  12.1 999.0 99.0 99.00 
2022 02 02 05 50 329  7.7  9.7 99.00 99.00 99.00 999 1019.9 999.0  12.1 999.0 99.0 99.00 
2022 02 02 06 00 326  7.7  9.7 99.00 99.00 99.00 999 1019.9 999.0  12.1 999.0 99.0 99.00 
2022 02 02 06 10 324  7.2  9.5 99.00 99.00 99.00 999 1019.8 999.0  12.1 999.0 99.0 99.00 
2022 02 02 06 20 329  7.6  9.8 99.00 99.00 99.00 999 1019.7 999.0  12.1 999.0 99.0 99.00 
2022 02 02 06 30 330  8.4 10.6 99.00 99.00 99.00 999 1019.7 999.0  12.1 999.0 99.0 99.00 
2022 02 02 06 40 328  7.8 10.5  2.99 10.81  7.39 303 1019.8 999.0  12.1 999.0 99.0 99.00 
2022 02 02 06 50 328  7.3  9.4 99.00 99.00 99.00 999 1019.9 999.0  12.1 999.0 99.0 99.00 
2022 02 02 07 00 328  8.0 10.0 99.00 99.00 99.00 999 1020.0 999.0  12.1 999.0 99.0 99.00 
2022 02 02 07 10 328  7.9 10.5 99.00 99.00 99.00 999 1020.0 999.0  12.1 999.0 99.0 99.00 
2022 02 02 07 20 330  8.0  9.7 99.00 99.00 99.00 999 1020.0 999.0  12.1 999.0 99.0 99.00 
2022 02 02 07 30 330  8.3 10.8 99.00 99.00 99.00 999 1020.0 999.0  12.1 999.0 99.0 99.00 
2022 02 02 07 40 327  8.4 10.5  3.09 12.12  7.30 293 1020.1 999.0  12.1 999.0 99.0 99.00 
2022 02 02 07 50 328  8.6 10.5 99.00 99.00 99.00 999 1020.1 999.0  12.1 999.0 99.0 99.00 
